DATE,HOUR,PRICE
2012-09-04,01,0.022710
2012-09-04,02,0.021870
2012-09-04,03,0.020660
2012-09-04,04,0.020530
2012-09-04,05,0.021560
2012-09-04,06,0.023660
2012-09-04,07,0.024160
2012-09-04,08,0.025320
2012-09-04,09,0.026990
2012-09-04,10,0.030370
2012-09-04,11,0.032040
2012-09-04,12,0.035310
2012-09-04,13,0.038330
2012-09-04,14,0.043580
2012-09-04,15,0.049850
2012-09-04,16,0.056480
2012-09-04,17,0.052710
2012-09-04,18,0.045200
2012-09-04,19,0.037790
2012-09-04,20,0.039560
2012-09-04,21,0.033870
2012-09-04,22,0.028400
2012-09-04,23,0.025160
2012-09-04,24,0.023720
